listing_id,lat,lon,city_center,city_center_lat,city_center_lon,haversine_km,travel_time_min
2986808140,50.048272,14.428953,10,50.088,14.4208,4.46,12.3
4126360140,50.092422,14.434408,10,50.088,14.4208,1.09,4.3
726266700,50.095072,14.458422,10,50.088,14.4208,2.8,7.8
241247052,50.076591,14.435429,10,50.088,14.4208,1.64,7.7
2437342028,50.067233,14.405531,10,50.088,14.4208,2.55,8.3
3665224524,50.067233,14.405531,10,50.088,14.4208,2.55,8.3
1387795276,49.569695,17.252196,8,49.5938,17.2509,2.68,6.3
585794380,50.057732,14.561535,11,50.0406,14.5567,1.94,5.9
2582459212,50.070504,14.436324,10,50.088,14.4208,2.24,9.0
443999052,50.067233,14.405531,10,50.088,14.4208,2.55,8.3
3129029452,50.046362,14.310556,10,50.088,14.4208,9.13,21.9
4088582988,50.075788,14.372357,10,50.088,14.4208,3.71,13.0
1397035596,50.106749,14.437816,10,50.088,14.4208,2.41,8.0
1169679180,50.067233,14.405531,10,50.088,14.4208,2.55,8.3
1637684044,50.072647,14.408483,10,50.088,14.4208,1.92,7.1
2780881740,50.141565,14.576679,11,50.0406,14.5567,11.32,24.3
4099543884,50.12626,14.419636,10,50.088,14.4208,4.26,16.4
3711345484,50.065917,14.379108,10,50.088,14.4208,3.86,11.8
230617932,50.077447,14.424215,10,50.088,14.4208,1.2,6.2
2439480140,50.114339,14.507672,10,50.088,14.4208,6.85,14.0
3475444556,50.074373,14.425488,10,50.088,14.4208,1.55,7.4
2200376140,50.140647,14.445242,10,50.088,14.4208,6.11,17.3
539431756,50.140042,14.447236,10,50.088,14.4208,6.09,15.9
824644428,50.140042,14.447236,10,50.088,14.4208,6.09,15.9
3255927628,50.024939,14.434676,10,50.088,14.4208,7.08,17.2
3004756812,50.065207,14.450711,10,50.088,14.4208,3.31,10.9
2559832908,50.043457,14.496301,11,50.0406,14.5567,4.32,10.7
3700630348,50.052408,14.343132,10,50.088,14.4208,6.81,17.7
2295116620,50.09712,14.480231,10,50.088,14.4208,4.36,10.6
2036855628,50.039607,14.316702,10,50.088,14.4208,9.17,20.2
586400588,50.03017,14.594007,11,50.0406,14.5567,2.91,7.5
2709046092,50.058595,14.449862,10,50.088,14.4208,3.87,10.8
2685780812,50.086009,14.469324,10,50.088,14.4208,3.47,11.3
1920975692,50.091058,14.42034,10,50.088,14.4208,0.34,1.6
1291047756,50.042962,14.312009,10,50.088,14.4208,9.24,20.8
1854223180,50.091702,14.298334,10,50.088,14.4208,8.75,18.7
2150372172,50.091702,14.298334,10,50.088,14.4208,8.75,18.7
3428848460,50.039965,14.428662,10,50.088,14.4208,5.37,14.7
1734349644,50.128728,14.483624,10,50.088,14.4208,6.37,13.6
3435451212,50.09957,14.399651,10,50.088,14.4208,1.98,8.1
622273356,50.102895,14.570903,11,50.0406,14.5567,7.0,19.6
3620856652,50.016388,14.403595,10,50.088,14.4208,8.06,16.3
179376972,50.079493,14.484474,10,50.088,14.4208,4.64,12.6
3930768204,50.080246,14.376142,10,50.088,14.4208,3.3,11.9
191091532,50.110658,14.517806,10,50.088,14.4208,7.36,13.8
2875446092,50.110658,14.517806,10,50.088,14.4208,7.36,13.8
3412317004,50.110658,14.517806,10,50.088,14.4208,7.36,13.8
2815374156,50.098269,14.422942,10,50.088,14.4208,1.15,5.2
3047232332,50.013393,14.582934,11,50.0406,14.5567,3.56,8.3
4238332748,50.094063,14.3475,10,50.088,14.4208,5.27,12.9
3597480780,50.100342,14.418715,10,50.088,14.4208,1.38,11.7
1045381708,50.1201,14.4767,10,50.088,14.4208,5.35,13.4
1185411916,50.123589,14.482745,10,50.088,14.4208,5.93,15.1
1591481164,50.104936,14.536951,11,50.0406,14.5567,7.29,16.4
2894193484,50.100366,14.41832,10,50.088,14.4208,1.39,6.7
2087764812,50.140398,14.519076,10,50.088,14.4208,9.11,17.6
1677464396,50.099493,14.471977,10,50.088,14.4208,3.87,8.9
3649037132,50.071682,14.432324,10,50.088,14.4208,1.99,8.7
2578916172,50.116337,14.629176,11,50.0406,14.5567,9.88,21.7
2922255180,50.061825,14.438021,10,50.088,14.4208,3.16,10.2
3194103116,50.131719,14.551679,11,50.0406,14.5567,10.14,22.0
279782220,50.084637,14.420037,10,50.088,14.4208,0.38,4.2
3802198860,50.133003,14.561981,11,50.0406,14.5567,10.28,22.6
1561322316,50.133003,14.561981,11,50.0406,14.5567,10.28,22.6
1296360268,50.064266,14.435397,10,50.088,14.4208,2.84,10.2
1110184780,50.091702,14.298334,10,50.088,14.4208,8.75,18.7
3136951116,50.024093,14.605779,11,50.0406,14.5567,3.96,10.7
531305292,50.06616,14.38785,10,50.088,14.4208,3.38,10.5
2153497420,50.049236,14.316789,10,50.088,14.4208,8.58,20.4
2515886668,50.072305,14.443861,10,50.088,14.4208,2.4,9.2
2067276620,50.017396,14.582896,11,50.0406,14.5567,3.19,7.5
2535400268,50.047681,14.485952,11,50.0406,14.5567,5.11,12.6
232821324,50.090616,14.466938,10,50.088,14.4208,3.3,9.5
230957900,50.130992,14.483248,10,50.088,14.4208,6.53,15.0
3929698892,50.058828,14.558603,11,50.0406,14.5567,2.03,6.2
1619452748,50.091986,14.434265,10,50.088,14.4208,1.06,5.8
1117844300,50.133003,14.561981,11,50.0406,14.5567,10.28,22.6
716694348,50.064266,14.435397,10,50.088,14.4208,2.84,10.2
365228876,50.052184,14.545551,11,50.0406,14.5567,1.51,5.9
3673539148,50.065627,14.384258,10,50.088,14.4208,3.6,11.5
3771839308,50.010504,14.449656,11,50.0406,14.5567,8.35,19.3
3706590028,50.100867,14.418989,10,50.088,14.4208,1.44,4.9
1187603020,50.074052,14.356807,10,50.088,14.4208,4.82,14.4
31609420,50.133556,14.43833,10,50.088,14.4208,5.22,17.6
3370791756,50.099025,14.482987,10,50.088,14.4208,4.6,10.6
708125516,50.094971,14.464839,10,50.088,14.4208,3.24,8.5
2605503308,50.094226,14.499879,10,50.088,14.4208,5.68,13.0
2159461196,50.103785,14.476581,10,50.088,14.4208,4.35,10.3
2654868300,50.034133,14.389617,10,50.088,14.4208,6.39,14.8
1927533388,50.081132,14.49745,10,50.088,14.4208,5.52,14.7
2782053196,50.077054,14.463908,10,50.088,14.4208,3.31,10.4
2434778444,50.057821,14.378662,10,50.088,14.4208,4.51,12.2
3358769740,50.059401,14.518159,11,50.0406,14.5567,3.46,8.6
3141768012,50.081306,14.405853,10,50.088,14.4208,1.3,6.1
4269749068,50.126651,14.414046,10,50.088,14.4208,4.32,16.3
2845193036,50.125591,14.374151,10,50.088,14.4208,5.34,13.0
2204443468,50.126318,14.439195,10,50.088,14.4208,4.46,14.3
1883513676,50.069938,14.450103,10,50.088,14.4208,2.9,11.1
323232588,50.069938,14.450103,10,50.088,14.4208,2.9,11.1
2945200972,50.023168,14.511565,11,50.0406,14.5567,3.76,8.3
4109243212,50.07332,14.467892,10,50.088,14.4208,3.74,11.7
4241297996,50.088844,14.375408,10,50.088,14.4208,3.24,11.1
1645232716,50.105835,14.396924,10,50.088,14.4208,2.61,8.3
2765472588,50.08015,14.50873,11,50.0406,14.5567,5.57,12.7
2809602892,50.115502,14.565074,11,50.0406,14.5567,8.35,20.4
2044732236,50.085671,14.471271,10,50.088,14.4208,3.61,10.8
3597452108,50.125333,14.453476,10,50.088,14.4208,4.76,13.6
296887116,50.125698,14.411825,10,50.088,14.4208,4.24,16.7
1843442508,50.036015,14.480887,11,50.0406,14.5567,5.44,12.1
1837900620,50.10556,14.379861,10,50.088,14.4208,3.51,10.3
399848268,50.098631,14.432031,10,50.088,14.4208,1.43,5.2
3889459788,50.078137,14.303317,10,50.088,14.4208,8.45,19.4
3139642188,50.070739,14.682373,11,50.0406,14.5567,9.58,21.2
1878012748,50.061677,14.403789,10,50.088,14.4208,3.17,9.8
786379596,50.066919,14.362328,10,50.088,14.4208,4.79,13.6
2588873548,50.04627,14.414902,10,50.088,14.4208,4.66,11.5
2620506956,50.126787,14.419671,10,50.088,14.4208,4.31,16.4
1952588620,50.057005,14.440523,10,50.088,14.4208,3.72,11.8
1454973772,50.037941,14.504139,11,50.0406,14.5567,3.77,8.5
1139471180,49.998063,14.418578,10,50.088,14.4208,10.0,20.8
1074991692,50.087034,14.562789,11,50.0406,14.5567,5.18,15.4
199168844,50.081035,14.574839,11,50.0406,14.5567,4.68,14.3
3047367500,50.015717,14.391931,10,50.088,14.4208,8.3,15.7
230946124,50.051615,14.406926,10,50.088,14.4208,4.17,11.3
310154060,50.090748,14.428892,10,50.088,14.4208,0.65,2.8
2750862156,50.062082,14.279642,10,50.088,14.4208,10.48,22.3
1942209356,50.081486,14.43183,10,50.088,14.4208,1.07,7.7
3269440332,50.129406,14.451294,10,50.088,14.4208,5.09,13.3
2152080204,49.984559,14.359279,10,50.088,14.4208,12.31,22.6
907006796,50.019782,14.466755,11,50.0406,14.5567,6.83,16.9
596497228,50.077265,14.425838,10,50.088,14.4208,1.25,6.4
2229850956,50.077265,14.423512,10,50.088,14.4208,1.21,6.1
3367318348,50.067843,14.455442,10,50.088,14.4208,3.34,11.2
1592861516,50.101852,14.486118,10,50.088,14.4208,4.91,11.9
1519854412,50.104959,14.538363,11,50.0406,14.5567,7.28,16.4
3016299084,50.034617,14.507051,11,50.0406,14.5567,3.61,8.2
1270489932,50.072468,14.395406,10,50.088,14.4208,2.5,9.8
780834124,50.125539,14.374206,10,50.088,14.4208,5.34,13.0
2762121804,50.060715,14.401836,10,50.088,14.4208,3.32,10.3
764883788,50.101728,14.36044,10,50.088,14.4208,4.57,12.8
3787662156,50.103248,14.404867,10,50.088,14.4208,2.04,7.8
2877350732,50.052432,14.511523,11,50.0406,14.5567,3.48,9.0
3153445708,50.071544,14.4057,10,50.088,14.4208,2.12,7.7
3322483532,50.029372,14.361618,10,50.088,14.4208,7.77,18.4
1097405260,50.085142,14.454938,10,50.088,14.4208,2.46,8.7
2142901068,50.093627,14.463441,10,50.088,14.4208,3.11,8.5
4225770316,50.073064,14.394489,10,50.088,14.4208,2.51,9.8
584921676,50.090478,14.429967,10,50.088,14.4208,0.71,3.8
