osm_id,name,latitude,longitude,poi_kind,raw_main_tag
node/11039511078,"Dolní Dvořiště, Štědrkov, osada",48.6650673,14.4715748,bus_stop,bus=yes
node/11039511076,"Dolní Dvořiště, Rychnov n.Malší",48.6677925,14.4816998,bus_stop,bus=yes
node/11039512098,Pohorská Ves,48.6699729,14.6475306,bus_stop,bus=yes
node/11039510405,"Frymburk, tábor",48.670541,14.1646107,bus_stop,bus=yes
node/11039511075,"Malonty, Bukovsko",48.6727168,14.5409236,bus_stop,bus=yes
node/11039510727,"Malšín, Větrná",48.6736935,14.3083826,bus_stop,bus=yes
node/11039510403,"Frymburk, Svatonina Lhota",48.6770868,14.1779611,bus_stop,bus=yes
node/11039510392,"Malšín, Ostrov",48.6771415,14.2879693,bus_stop,bus=yes
node/7377468669,"Bujanov, Suchdol, rozcestí",48.6774741,14.4502677,bus_stop,bus=yes
node/7377468668,"Bujanov, Suchdol, rozcestí",48.6776785,14.4505997,bus_stop,bus=yes
node/7728799256,Vřesná,48.6806086,14.1615129,bus_stop,bus=yes
node/11039510957,"Rožmitál na Šumavě, Hněvanov",48.682994,14.4065692,bus_stop,bus=yes
node/11039510001,Malonty,48.6863773,14.5783676,bus_stop,bus=yes
node/11039511067,"Malonty, kovárna",48.6876441,14.5659882,bus_stop,bus=yes
node/11039510959,"Bujanov, Nažidla",48.6923526,14.4613841,bus_stop,bus=yes
node/332447773,"Rožmitál na Šumavě,Hněvanov,rozc.",48.6924119,14.4007041,bus_stop,bus=yes
node/11039510958,"Bujanov, Nažidla",48.6932922,14.4622207,bus_stop,bus=yes
node/11039512100,"Benešov n.Černou, Černé Údolí",48.6937235,14.6663127,bus_stop,bus=yes
node/11039510380,"Frymburk, Milná",48.6945798,14.1506019,bus_stop,bus=yes
node/11039511065,"Malonty, Jaroměř",48.6951233,14.533037,bus_stop,bus=yes
node/11039510401,"Frymburk, Blatná",48.695229,14.1960711,bus_stop,bus=yes
node/11039510514,"Černá v Pošumaví, Dolní Vltavice",48.69694,14.0771572,bus_stop,bus=yes
