osm_id,name,latitude,longitude,poi_kind,raw_main_tag
node/2284837626,Coop,48.8967804,16.7186199,convenience,shop=convenience
way/162144084,Stop Cafe,48.8968143,14.8809572,convenience,shop=convenience
node/13238168721,Coop,48.9010967,14.4886415,convenience,shop=convenience
node/4054221449,Hruška,48.9021957,17.3216356,convenience,shop=convenience
node/2414304936,Coop,48.9025595,16.5439234,convenience,shop=convenience
node/2306217272,Jednota,48.9045706,17.0281115,convenience,shop=convenience
node/8949452133,Coop Jednota,48.9058293,15.962988,convenience,shop=convenience
way/384142793,Coop,48.9060637,16.6536789,convenience,shop=convenience
way/103300768,Stop Cafe,48.9062916,16.783578,convenience,shop=convenience
node/5840924406,Jednota,48.9063618,15.7666263,convenience,shop=convenience
way/641516769,Stop Cafe,48.9065443,15.9743142,convenience,shop=convenience
node/2306230966,Coop,48.907533,17.0339837,convenience,shop=convenience
way/701598656,Stop Cafe,48.9100378,13.8717636,convenience,shop=convenience
node/5111151330,Coop,48.9150433,16.8973118,convenience,shop=convenience
node/3144975171,Coop,48.9172396,17.0924675,convenience,shop=convenience
node/3870773434,COOP Jednota,48.9179272,14.1309391,convenience,shop=convenience
node/13639111319,Chemis,48.9222276,16.5504034,convenience,shop=convenience
node/4393471913,Coop Tuty,48.9223244,13.7976134,convenience,shop=convenience
node/474555622,Coop,48.9240545,17.3408024,convenience,shop=convenience
node/13639111318,Chemis,48.924498,16.5472589,convenience,shop=convenience
node/3882414685,Coop Tuty,48.9290527,14.2205026,convenience,shop=convenience
node/13689455915,Coop,48.9299297,16.5754531,convenience,shop=convenience
node/7716335485,Coop,48.9321961,16.8834568,convenience,shop=convenience
node/13529313057,Shell Select,48.9323863,16.7483688,convenience,shop=convenience
way/291070221,COOP Jednota,48.9325195,17.5741831,convenience,shop=convenience
way/218530192,Jednota,48.9339107,14.6198984,convenience,shop=convenience
node/11008671171,Coop,48.9346417,16.625196,convenience,shop=convenience
way/1184521022,Stop Cafe,48.9352545,13.765558,convenience,shop=convenience
node/8069345593,Můjobchod,48.939576,16.7349137,convenience,shop=convenience
way/283332266,COOP Jednota,48.9404899,17.6653223,convenience,shop=convenience
way/612858069,Stop Cafe,48.9427276,16.9860965,convenience,shop=convenience
node/6415769816,JEDNOTA,48.9441166,17.1756697,convenience,shop=convenience
node/11423728282,Coop,48.9458783,16.311811,convenience,shop=convenience
node/474549729,Coop,48.9498542,17.3804397,convenience,shop=convenience
node/10972973332,Coop,48.950928,16.25939,convenience,shop=convenience
node/8069274696,Coop,48.9509952,16.7072682,convenience,shop=convenience
node/13293888808,Stop Cafe,48.9516057,14.4660375,convenience,shop=convenience
way/617636653,Coop,48.9533218,14.467642,convenience,shop=convenience
