feature_variant,model,MedAPE,MAPE,wMAPE,MAE,R2,n_scored
A_baseline_only,XGBoost baseline,0.09067199447249509,0.14168091414674078,0.1290719478166222,1013174.7568007195,0.8880858302774081,11258
A_baseline_only,Linear regression on log-price,0.19004973853261692,0.2773535352071248,0.23628783281937546,1854786.1994913595,0.7052659592997144,11258
A_baseline_only,Hierarchical median baseline,0.20026702269692923,0.31730233750903253,0.27058031105444474,2123971.517321016,0.5815720913781511,11258
