locality_region_id,name
1,Jihočeský
2,Plzeňský
3,Karlovarský
4,Ústecký
5,Liberecký
6,Královéhradecký
7,Pardubický
8,Olomoucký
9,Zlínský
10,Praha
11,Středočeský
12,Moravskoslezský
13,Vysočina
14,Jihomoravský
